date,value,
31/01/2011,104.2 ,
28/02/2011,107.1 ,
31/03/2011,110.4 ,
30/04/2011,115.3 ,
31/05/2011,117.9 ,
30/06/2011,117.8 ,
31/07/2011,115.1 ,
31/08/2011,114.4 ,
30/09/2011,113.8 ,
31/10/2011,111.8 ,
30/11/2011,111.0 ,
31/12/2011,108.8 ,
31/01/2012,108.5 ,
29/02/2012,109.0 ,
31/03/2012,110.4 ,
30/04/2012,111.4 ,
31/05/2012,112.1 ,
30/06/2012,111.2 ,
31/07/2012,109.7 ,
31/08/2012,109.5 ,
30/09/2012,108.7 ,
31/10/2012,107.1 ,
30/11/2012,105.3 ,
31/12/2012,105.8 ,
31/01/2013,106.0 ,
28/02/2013,105.1 ,
31/03/2013,106.3 ,
30/04/2013,107.0 ,
31/05/2013,105.8 ,
30/06/2013,105.0 ,
31/07/2013,103.7 ,
31/08/2013,101.5 ,
30/09/2013,101.7 ,
31/10/2013,102.3 ,
30/11/2013,101.0 ,
31/12/2013,101.9 ,
31/01/2014,102.4 ,
28/02/2014,102.0 ,
31/03/2014,101.6 ,
30/04/2014,100.1 ,
31/05/2014,101.0 ,
30/06/2014,101.9 ,
31/07/2014,101.0 ,
31/08/2014,101.1 ,
30/09/2014,100.2 ,
31/10/2014,99.2 ,
30/11/2014,98.0 ,
31/12/2014,96.9 ,
31/01/2015,94.7 ,
28/02/2015,92.6 ,
31/03/2015,91.1 ,
30/04/2015,91.6 ,
31/05/2015,90.8 ,
30/06/2015,89.6 ,
31/07/2015,88.2 ,
31/08/2015,87.9 ,
30/09/2015,87.4 ,
31/10/2015,86.5 ,
30/11/2015,87.0 ,
31/12/2015,85.8 ,
31/01/2016,85.8 ,
29/02/2016,83.7 ,
31/03/2016,81.6 ,
30/04/2016,82.3 ,
31/05/2016,84.9 ,
30/06/2016,87.3 ,
31/07/2016,88.9 ,
31/08/2016,90.5 ,
30/09/2016,91.3 ,
31/10/2016,90.8 ,
30/11/2016,90.6 ,
31/12/2016,89.9 ,
31/01/2017,92.0 ,
28/02/2017,95.0 ,
31/03/2017,95.2 ,
30/04/2017,95.6 ,
31/05/2017,96.8 ,
30/06/2017,96.6 ,
31/07/2017,97.7 ,
31/08/2017,97.8 ,
30/09/2017,98.5 ,
31/10/2017,97.7 ,
30/11/2017,100.8 ,
31/12/2017,102.2 ,
31/01/2018,103.2 ,
28/02/2018,104.9 ,
31/03/2018,106.3 ,
30/04/2018,106.0 ,
31/05/2018,106.4 ,
30/06/2018,106.5 ,
31/07/2018,106.5 ,
31/08/2018,107.3 ,
30/09/2018,108.5 ,
31/10/2018,108.8 ,
30/11/2018,108.8 ,
31/12/2018,108.7 ,
31/01/2019,109.0 ,
28/02/2019,109.5 ,
31/03/2019,109.7 ,
30/04/2019,110.5 ,
31/05/2019,110.2 ,
30/06/2019,109.8 ,
31/07/2019,109.8 ,
31/08/2019,108.5 ,
30/09/2019,107.7 ,
31/10/2019,106.7 ,
30/11/2019,104.1 ,
31/12/2019,103.3 ,
31/01/2020,102.4 ,
29/02/2020,109.2 ,
31/03/2020,113.2 ,
30/04/2020,109.1 ,
31/05/2020,109.2 ,
30/06/2020,113.2 ,
31/07/2020,114.6 ,
31/08/2020,115.9 ,
30/09/2020,113.3 ,
31/10/2020,111.8 ,
30/11/2020,110.9 ,
31/12/2020,111.7 ,
31/01/2021,113.9 ,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,p,
,,
,p,
