date,value
02/07/1959,0.293
06/07/1959,0.291
07/07/1959,0.282
08/07/1959,0.2846
09/07/1959,0.276
10/07/1959,0.2757
13/07/1959,0.278
14/07/1959,0.2855
15/07/1959,0.2873
16/07/1959,0.2915
17/07/1959,0.2916
20/07/1959,0.2893
21/07/1959,0.2916
22/07/1959,0.2943
23/07/1959,0.2939
24/07/1959,0.2933
27/07/1959,0.2932
28/07/1959,0.2935
29/07/1959,0.285
30/07/1959,0.2874
31/07/1959,0.2915
03/08/1959,0.2932
04/08/1959,0.29
05/08/1959,0.2905
06/08/1959,0.2945
07/08/1959,0.2993
10/08/1959,0.302
11/08/1959,0.3028
12/08/1959,0.3049
13/08/1959,0.308
14/08/1959,0.3065
17/08/1959,0.294
18/08/1959,0.301
19/08/1959,0.302
20/08/1959,0.301
21/08/1959,0.3001
24/08/1959,0.2998
25/08/1959,0.298
26/08/1959,0.3018
27/08/1959,0.304
28/08/1959,0.3069
31/08/1959,0.3123
01/09/1959,0.307
02/09/1959,0.3078
03/09/1959,0.3083
04/09/1959,0.3101
08/09/1959,0.3113
09/09/1959,0.3089
10/09/1959,0.3075
11/09/1959,0.3076
14/09/1959,0.3023
15/09/1959,0.2983
16/09/1959,0.2996
17/09/1959,0.2979
18/09/1959,0.2943
21/09/1959,0.291
22/09/1959,0.2917
23/09/1959,0.297
24/09/1959,0.3018
25/09/1959,0.3026
28/09/1959,0.3003
29/09/1959,0.3025
30/09/1959,0.3038
01/10/1959,0.305
02/10/1959,0.3092
05/10/1959,0.3108
06/10/1959,0.3117
07/10/1959,0.3076
08/10/1959,0.309
09/10/1959,0.3099
13/10/1959,0.308
14/10/1959,0.312
15/10/1959,0.3112
16/10/1959,0.3115
19/10/1959,0.316
20/10/1959,0.322
21/10/1959,0.3246
22/10/1959,0.3288
23/10/1959,0.3265
26/10/1959,0.3272
27/10/1959,0.331
28/10/1959,0.3315
29/10/1959,0.332
30/10/1959,0.33
02/11/1959,0.3335
04/11/1959,0.3418
05/11/1959,0.3425
06/11/1959,0.3474
09/11/1959,0.3487
10/11/1959,0.353
11/11/1959,0.3472
12/11/1959,0.3422
13/11/1959,0.3365
16/11/1959,0.3285
17/11/1959,0.3197
18/11/1959,0.3215
19/11/1959,0.3259
20/11/1959,0.3237
23/11/1959,0.32
24/11/1959,0.3222
25/11/1959,0.317
27/11/1959,0.3121
30/11/1959,0.3095
01/12/1959,0.3175
02/12/1959,0.3219
03/12/1959,0.319
04/12/1959,0.3192
07/12/1959,0.3216
08/12/1959,0.3264
09/12/1959,0.3265
10/12/1959,0.3286
11/12/1959,0.3248
14/12/1959,0.3235
15/12/1959,0.3284
16/12/1959,0.3233
17/12/1959,0.3215
18/12/1959,0.3269
21/12/1959,0.3297
22/12/1959,0.3296
23/12/1959,0.3312
24/12/1959,0.3338
28/12/1959,0.3364
29/12/1959,0.3278
30/12/1959,0.3231
31/12/1959,0.3199
04/01/1960,0.3187
05/01/1960,0.318
06/01/1960,0.3195
07/01/1960,0.315
08/01/1960,0.3171
11/01/1960,0.3195
12/01/1960,0.3173
13/01/1960,0.3176
14/01/1960,0.3188
15/01/1960,0.321
18/01/1960,0.3213
19/01/1960,0.3197
20/01/1960,0.3195
21/01/1960,0.3197
22/01/1960,0.3225
25/01/1960,0.3267
26/01/1960,0.3283
27/01/1960,0.3265
28/01/1960,0.324
29/01/1960,0.3201
01/02/1960,0.3166
02/02/1960,0.3186
03/02/1960,0.3181
04/02/1960,0.3236
05/02/1960,0.3222
08/02/1960,0.3233
09/02/1960,0.3265
10/02/1960,0.3255
11/02/1960,0.3274
12/02/1960,0.3286
15/02/1960,0.3255
16/02/1960,0.324
17/02/1960,0.326
18/02/1960,0.328
19/02/1960,0.3265
23/02/1960,0.3202
24/02/1960,0.3173
25/02/1960,0.3157
26/02/1960,0.31
29/02/1960,0.302
01/03/1960,0.2955
